days_until_expiry,initial_quantity,shelf_life_days,storage_temp,temp_deviation,spoilage_sensitivity,units_sold,daily_demand,sell_through_rate,remaining_quantity,stock_pressure_ratio,velocity_score,sales_volatility,expiry_pressure_index,price_margin_ratio,category_encoded,region_encoded,is_weekend,is_promoted,handling_score,packaging_score,supplier_score
118,460,131,2.6,2.4,0.85,460,9,1.0,0,0.0,0.06870229,0.3,0.0,0.45402995,6,4,1,0,7,6,6
3,365,7,1.0,0.0,0.9,292,88,0.8,73,0.82954544,12.571428,0.47,0.20738636,0.5989305,5,1,0,0,6,9,10
180,456,217,4.0,1.0,0.85,456,7,1.0,0,0.0,0.032258064,0.41,0.0,0.41106194,6,0,1,1,6,9,10
242,279,330,-18.7,1.3,0.3,0,0,0.0,279,0.22939752,0.0,0.13,0.05210174,0.3032874,4,1,0,0,6,5,6
6,359,10,2.4,1.4,0.9,226,40,0.62952644,133,3.325,4.0,0.14,0.475,0.33769062,5,2,0,0,9,10,9
4,66,5,4.5,0.5,0.75,46,25,0.6969697,20,0.8,5.0,0.22,0.16,0.3626087,3,2,0,0,4,6,9
4,99,9,3.5,0.5,0.7,99,21,1.0,0,0.0,2.3333333,0.45,0.0,0.38545454,2,1,0,1,10,6,8
0,420,1,5.9,1.9,0.9,420,771,1.0,0,0.0,771.0,0.46,0.0,0.5022166,8,1,1,0,8,10,6
22,188,25,4.3,0.7,0.4,187,7,0.9946808,1,0.14285715,0.28,0.4,0.0062111802,0.4081042,1,2,0,1,8,8,6
4,46,5,2.9,1.1,0.9,30,11,0.65217394,16,1.4545455,2.2,0.41,0.29090908,0.49170616,8,1,0,0,4,9,10
248,251,258,-19.9,0.1,0.3,0,0,0.0,251,0.22939752,0.0,0.14,0.05210174,0.55775076,4,0,0,0,8,7,10
0,233,3,6.5,2.5,0.9,233,99,1.0,0,0.0,33.0,0.47,0.0,0.4825493,8,1,0,0,8,9,8
231,282,263,5.4,0.4,0.85,243,1,0.86170214,39,39.0,0.0038022813,0.3,0.16810344,0.53800017,6,3,0,0,7,8,6
118,455,123,-18.1,1.9,0.3,296,3,0.6505495,159,53.0,0.024390243,0.33,0.44537815,0.3320955,4,4,0,0,9,10,8
0,201,4,5.9,1.9,0.75,138,71,0.6865672,63,0.8873239,17.75,0.38,0.8873239,0.32927817,3,1,0,1,8,5,9
3,422,7,10.3,6.3,0.75,207,85,0.49052134,215,2.5294118,12.142858,0.16,0.63235295,0.32421875,3,0,0,1,8,9,10
259,136,279,-21.5,1.5,0.3,0,0,0.0,136,0.22939752,0.0,0.48,0.05210174,0.47316793,4,1,0,0,6,8,8
216,18,262,-20.3,0.3,0.3,0,0,0.0,18,0.22939752,0.0,0.27,0.05210174,0.39065605,4,4,0,0,7,8,10
226,398,234,-23.6,3.6,0.3,0,0,0.0,398,0.22939752,0.0,0.15,0.05210174,0.40577716,4,3,0,1,5,6,8
1,192,2,1.8,2.2,0.9,192,227,1.0,0,0.0,113.5,0.35,0.0,0.40622684,8,3,1,0,9,7,9
2,61,5,4.4,0.4,0.9,44,20,0.72131145,17,0.85,4.0,0.21,0.28333333,0.5125,8,0,1,0,6,5,9
8,446,9,0.4,0.6,0.9,312,72,0.6995516,134,1.8611112,8.0,0.2,0.20679012,0.36265516,5,4,0,0,5,5,9
195,62,226,-20.8,0.8,0.3,0,0,0.0,62,0.22939752,0.0,0.21,0.05210174,0.3633721,4,4,0,0,10,8,8
13,209,13,3.9,0.1,0.75,146,31,0.6985646,63,2.032258,2.3846154,0.11,0.14516129,0.38432837,3,4,0,1,10,7,9
19,362,23,6.6,2.6,0.7,362,26,1.0,0,0.0,1.1304348,0.24,0.0,0.54801536,2,1,0,0,5,7,8
1,311,4,7.1,3.1,0.9,188,115,0.6045016,123,1.0695652,28.75,0.32,0.5347826,0.34336284,8,4,0,0,6,10,10
1,231,2,22.2,2.2,0.5,161,211,0.6969697,70,0.33175355,105.5,0.48,0.16587678,0.5916892,0,3,1,0,4,9,6
6,351,9,0.1,0.9,0.9,351,70,1.0,0,0.0,7.7777777,0.29,0.0,0.49714285,5,3,0,0,5,7,9
12,341,17,13.2,5.2,0.6,341,33,1.0,0,0.0,1.9411764,0.33,0.0,0.32026145,7,0,0,1,9,9,10
19,397,28,8.0,3.0,0.4,397,37,1.0,0,0.0,1.3214285,0.27,0.0,0.58389264,1,0,0,1,6,10,8
0,416,3,12.6,4.6,0.6,343,167,0.8245192,73,0.43712574,55.666668,0.27,0.43712574,0.38832998,7,0,0,0,5,10,8
199,401,296,6.8,1.8,0.85,401,3,1.0,0,0.0,0.010135135,0.32,0.0,0.4814706,6,1,0,0,10,5,9
6,269,7,7.6,0.4,0.6,269,75,1.0,0,0.0,10.714286,0.4,0.0,0.57081544,7,1,0,0,9,9,8
0,251,3,19.6,0.4,0.5,251,124,1.0,0,0.0,41.333332,0.36,0.0,0.40410256,0,3,0,0,9,7,8
16,426,23,2.2,2.8,0.4,411,20,0.96478873,15,0.75,0.8695652,0.38,0.04411765,0.3384434,1,3,0,1,4,6,8
0,145,3,1.3,1.3,0.95,101,66,0.69655174,44,0.6666667,22.0,0.24,0.6666667,0.3950366,9,4,0,0,6,8,6
0,164,1,1.8,2.2,0.9,164,308,1.0,0,0.0,308.0,0.21,0.0,0.3123077,8,1,1,0,8,5,8
2,163,5,-0.9,0.9,0.95,153,36,0.9386503,10,0.2777778,7.2,0.12,0.09259259,0.55541235,9,4,0,1,6,5,8
18,184,23,5.6,0.6,0.4,128,13,0.6956522,56,4.3076925,0.5652174,0.26,0.22672065,0.46030152,1,4,1,0,6,7,9
6,140,9,9.6,1.6,0.6,140,24,1.0,0,0.0,2.6666667,0.37,0.0,0.3084112,7,1,0,0,7,9,9
6,476,7,2.0,2.0,0.95,476,148,1.0,0,0.0,21.142857,0.46,0.0,0.40646365,9,2,1,0,6,8,6
113,386,122,-21.0,1.0,0.3,386,9,1.0,0,0.0,0.07377049,0.35,0.0,0.3415133,4,3,0,0,6,8,10
10,114,14,4.6,3.4,0.6,94,11,0.8245614,20,1.8181819,0.78571427,0.5,0.16528925,0.5627907,7,1,0,0,8,10,7
18,486,23,5.5,1.5,0.7,340,28,0.6995885,146,5.214286,1.2173913,0.17,0.2744361,0.59796804,2,2,0,0,4,8,10
8,85,13,5.2,2.8,0.6,85,10,1.0,0,0.0,0.7692308,0.35,0.0,0.44089013,7,0,0,0,6,7,8
1,489,6,2.5,2.5,0.95,447,192,0.9141104,42,0.21875,32.0,0.41,0.109375,0.48175183,9,2,1,0,4,7,7
17,189,26,6.9,1.9,0.4,134,7,0.7089947,55,7.857143,0.26923078,0.4,0.43650794,0.46551725,1,3,0,0,8,8,9
288,128,301,-17.5,2.5,0.3,0,0,0.0,128,0.22939752,0.0,0.16,0.05210174,0.599083,4,1,1,1,9,9,6
11,368,13,5.4,1.4,0.75,368,38,1.0,0,0.0,2.9230769,0.12,0.0,0.35350877,3,1,0,0,6,10,9
94,375,98,-22.2,2.2,0.3,375,10,1.0,0,0.0,0.10204082,0.41,0.0,0.5941124,4,3,1,0,4,5,7
2,190,2,1.4,1.4,0.95,133,123,0.7,57,0.46341464,61.5,0.23,0.15447155,0.5387578,9,3,0,0,5,10,8
2,105,4,5.4,1.4,0.9,73,50,0.6952381,32,0.64,12.5,0.47,0.21333334,0.40973312,8,1,1,0,7,8,8
8,478,11,8.4,0.4,0.6,478,56,1.0,0,0.0,5.090909,0.24,0.0,0.4425982,7,0,0,0,9,6,9
6,335,6,1.7,1.7,0.95,335,66,1.0,0,0.0,11.0,0.38,0.0,0.53733855,9,0,0,0,9,8,6
2,262,7,0.6,0.4,0.9,203,83,0.7748092,59,0.7108434,11.857142,0.16,0.23694779,0.5061437,5,1,1,0,9,7,10
6,415,8,0.9,3.1,0.75,415,78,1.0,0,0.0,9.75,0.17,0.0,0.4981685,3,3,0,0,10,10,10
6,239,9,-0.1,4.1,0.7,239,47,1.0,0,0.0,5.2222223,0.19,0.0,0.3156823,2,2,1,0,6,6,9
3,194,4,6.7,2.7,0.9,194,68,1.0,0,0.0,17.0,0.41,0.0,0.4946401,8,4,0,0,8,5,9
0,86,1,2.8,1.2,0.9,60,174,0.6976744,26,0.14942528,174.0,0.44,0.14942528,0.30776092,8,1,1,0,4,10,6
9,253,11,2.6,2.4,0.4,253,26,1.0,0,0.0,2.3636363,0.45,0.0,0.42724457,1,3,0,1,10,7,9
0,194,1,3.7,0.3,0.9,194,281,1.0,0,0.0,281.0,0.18,0.0,0.34480178,8,3,0,1,9,5,8
1,57,3,-2.2,2.2,0.95,57,36,1.0,0,0.0,12.0,0.3,0.0,0.46264812,9,0,1,1,6,5,9
6,443,10,8.6,0.6,0.6,443,104,1.0,0,0.0,10.4,0.15,0.0,0.38073394,7,1,1,0,5,8,9
169,418,220,4.7,0.3,0.85,0,0,0.0,418,0.22939752,0.0,0.1,0.05210174,0.4095462,6,1,0,0,9,8,9
3,360,4,0.5,0.5,0.95,360,116,1.0,0,0.0,29.0,0.19,0.0,0.5082267,9,1,0,0,4,6,9
161,175,238,4.6,0.4,0.85,0,0,0.0,175,0.22939752,0.0,0.34,0.05210174,0.5314411,6,3,1,1,4,8,8
201,109,226,4.3,0.7,0.85,109,1,1.0,0,0.0,0.0044247787,0.25,0.0,0.42072636,6,4,1,0,6,7,10
0,244,3,2.0,2.0,0.95,244,133,1.0,0,0.0,44.333332,0.45,0.0,0.5890909,9,2,0,0,7,8,9
126,252,154,5.5,0.5,0.85,0,0,0.0,252,0.22939752,0.0,0.37,0.05210174,0.31603605,6,2,0,0,7,7,8
2,322,2,5.1,1.1,0.9,225,258,0.69875777,97,0.375969,129.0,0.13,0.125323,0.53299165,8,1,0,1,5,6,9
18,350,27,7.3,2.3,0.4,350,16,1.0,0,0.0,0.5925926,0.13,0.0,0.32154882,1,4,0,1,9,10,9
4,406,5,6.2,5.2,0.9,406,121,1.0,0,0.0,24.2,0.12,0.0,0.3756244,5,1,0,0,7,8,9
4,291,6,24.6,4.6,0.5,291,80,1.0,0,0.0,13.333333,0.42,0.0,0.52315134,0,2,1,0,6,5,9
3,295,4,21.9,1.9,0.5,295,146,1.0,0,0.0,36.5,0.24,0.0,0.57746476,0,4,1,1,8,8,9
2,125,6,-0.4,0.4,0.95,105,30,0.84,20,0.6666667,5.0,0.25,0.22222222,0.39429852,9,2,0,0,6,6,10
3,249,3,22.8,2.8,0.5,249,134,1.0,0,0.0,44.666668,0.18,0.0,0.44190666,0,4,0,0,6,8,8
63,152,96,3.4,1.6,0.85,152,3,1.0,0,0.0,0.03125,0.41,0.0,0.38423732,6,4,1,0,6,9,6
2,450,3,2.2,1.2,0.9,450,281,1.0,0,0.0,93.666664,0.23,0.0,0.472507,5,2,0,0,4,5,9
36,480,57,6.7,1.7,0.85,185,6,0.38541666,295,49.166668,0.10526316,0.43,1.3288288,0.42256323,6,2,1,1,10,5,9
266,384,395,7.9,2.9,0.85,384,2,1.0,0,0.0,0.005063291,0.42,0.0,0.3915583,6,3,0,0,7,6,9
0,173,2,17.0,3.0,0.5,121,175,0.69942194,52,0.29714286,87.5,0.48,0.29714286,0.3242972,0,3,0,0,7,8,10
8,30,15,6.2,1.2,0.4,21,7,0.7,9,1.2857143,0.46666667,0.23,0.14285715,0.5111402,1,1,0,0,10,5,6
147,419,151,-20.7,0.7,0.3,293,4,0.699284,126,31.5,0.026490066,0.48,0.21283785,0.3142219,4,3,0,1,6,9,9
0,409,1,5.7,1.7,0.9,409,594,1.0,0,0.0,594.0,0.19,0.0,0.57251906,8,3,0,0,5,6,10
230,78,291,-24.2,4.2,0.3,0,0,0.0,78,0.22939752,0.0,0.38,0.05210174,0.3956229,4,2,0,0,4,10,10
0,455,4,2.4,1.4,0.9,396,202,0.8703297,59,0.2920792,50.5,0.4,0.2920792,0.38103232,5,1,0,0,5,6,7
172,490,219,-18.2,1.8,0.3,198,1,0.40408164,292,292.0,0.00456621,0.44,1.6878613,0.32138285,4,0,0,0,8,5,9
6,41,7,20.1,0.1,0.5,27,5,0.6585366,14,2.8,0.71428573,0.13,0.4,0.5332618,0,0,0,0,8,7,9
5,38,5,-3.4,3.4,0.95,38,8,1.0,0,0.0,1.6,0.22,0.0,0.54386425,9,4,0,0,9,9,6
