days_until_expiry,initial_quantity,shelf_life_days,storage_temp,temp_deviation,spoilage_sensitivity,units_sold,daily_demand,sell_through_rate,remaining_quantity,stock_pressure_ratio,velocity_score,sales_volatility,expiry_pressure_index,price_margin_ratio,category_encoded,region_encoded,is_weekend,is_promoted,handling_score,packaging_score,supplier_score,expire_before_sold
2,158,4,21.0,1.0,0.5,138,54,0.8734177215189873,20,0.37037037037037035,13.5,0.35,0.12345679012345678,0.5307692307692308,0,4,0,0,9,10,9,1
4,353,9,0.7,0.3,0.9,251,55,0.7110481586402266,102,1.8545454545454545,6.111111111111111,0.35,0.3709090909090909,0.49333333333333335,5,3,0,0,8,8,6,1
0,483,2,21.3,1.3,0.5,483,331,1.0,0,0.0,165.5,0.35,0.0,0.4854368932038835,0,0,0,0,4,8,9,1
79,477,87,8.0,3.0,0.85,477,7,1.0,0,0.0,0.08045977011494253,0.38,0.0,0.5801202519564803,6,0,0,0,5,9,6,0
3,391,4,3.5,0.5,0.9,391,169,1.0,0,0.0,42.25,0.25,0.0,0.5583090379008747,8,4,1,0,5,6,6,0
317,270,468,4.5,0.5,0.85,0,0,0.0,270,0.22939751380118353,0.0,0.49,0.05210173733804476,0.3007332948834143,6,4,0,0,10,8,6,1
8,42,10,8.2,3.2,0.4,41,4,0.9761904761904762,1,0.25,0.4,0.4,0.027777777777777776,0.47362110311750605,1,0,1,0,8,9,8,1
297,463,330,-18.5,1.5,0.3,0,0,0.0,463,0.22939751380118353,0.0,0.44,0.05210173733804476,0.5658602150537635,4,1,0,0,5,7,7,1
364,379,378,4.1,0.9,0.85,379,2,1.0,0,0.0,0.005291005291005291,0.2,0.0,0.599062261476393,6,1,0,0,5,7,6,0
5,111,6,21.1,1.1,0.5,111,50,1.0,0,0.0,8.333333333333334,0.12,0.0,0.44744976816074183,0,0,1,0,4,8,8,0
3,485,6,-0.9,0.9,0.95,257,116,0.5298969072164949,228,1.9655172413793103,19.333333333333332,0.23,0.49137931034482757,0.5942971485742872,9,1,0,0,6,6,9,1
4,399,6,3.1,0.9,0.75,279,103,0.6992481203007519,120,1.1650485436893203,17.166666666666668,0.3,0.23300970873786406,0.3550877192982457,3,2,0,0,7,5,9,0
376,118,516,5.5,0.5,0.85,118,1,1.0,0,0.0,0.001937984496124031,0.32,0.0,0.41802007972833316,6,3,0,0,4,5,8,0
295,71,349,1.2,3.8,0.85,0,0,0.0,71,0.22939751380118353,0.0,0.21,0.05210173733804476,0.4447423949358185,6,0,0,0,8,5,6,1
