,coefficient
expiry_pressure_index,2.3915438898097343
sell_through_rate,-1.0666127948947537
days_until_expiry,-1.0128707637219128
shelf_life_days,0.8014574308179409
velocity_score,0.44071814092001277
daily_demand,0.39394541157968466
is_weekend,-0.2997367744318122
category_encoded,0.16199143747498568
initial_quantity,-0.1326340952286016
spoilage_sensitivity,-0.11825142557748078
stock_pressure_ratio,-0.11766102090776594
units_sold,-0.09053839572606964
remaining_quantity,-0.07865418647252703
storage_temp,0.03817770516574391
handling_score,-0.035839682703998905
temp_deviation,-0.02948762485975193
supplier_score,0.015235316373924834
is_promoted,-0.013663905442783323
price_margin_ratio,-0.011569184909631275
region_encoded,-0.009594834733782228
packaging_score,-0.003441684934109722
sales_volatility,0.0004635465513181911
