,importance
expiry_pressure_index,0.1962258375696035
days_until_expiry,0.17008696528698602
sell_through_rate,0.14955032826956477
stock_pressure_ratio,0.0803405878011411
remaining_quantity,0.06769609056546476
velocity_score,0.05085272011349083
shelf_life_days,0.04929782438165315
units_sold,0.04392318782084375
daily_demand,0.042396791642553576
initial_quantity,0.025039784414919535
price_margin_ratio,0.017529030217276115
storage_temp,0.017394281288596724
sales_volatility,0.014485421781236227
temp_deviation,0.014392951544348803
category_encoded,0.010057986641825846
handling_score,0.009259410522061431
packaging_score,0.008769272894187956
is_weekend,0.00873883750965932
spoilage_sensitivity,0.008073031356367114
region_encoded,0.00700321526564336
supplier_score,0.006844099716521193
is_promoted,0.0020423433960548723
